step,removed_original_index,n_nodes_before,n_nodes_after,coverage_before,coverage_after,delta_coverage,isolated_before,isolated_after,delta_isolated,gcc_before,gcc_after,delta_gcc,removed_lat,removed_lon
25,24,217,216,0.8525345622119815,0.8518518518518519,-0.0006827103601296791,32,32,0,0.9354838709677419,0.9351851851851852,-0.00029868578255665135,37.0134984,127.1450114
26,25,216,215,0.8518518518518519,0.8511627906976744,-0.0006890611541774394,32,32,0,0.9351851851851852,0.9348837209302325,-0.00030146425495269913,35.1135046,128.8430507
27,26,215,214,0.8511627906976744,0.8504672897196262,-0.000695500978048269,32,32,0,0.9348837209302325,0.9345794392523364,-0.00030428167789608995,35.5979927,129.1415454
28,27,214,213,0.8504672897196262,0.8497652582159625,-0.0007020315036636582,32,32,0,0.9345794392523364,0.9342723004694836,-0.0003071387828528227,35.4768887,129.3091983
29,28,213,212,0.8497652582159625,0.8490566037735849,-0.0007086544423775543,32,32,0,0.9342723004694836,0.9339622641509434,-0.00031003631854020774,35.1297255,126.8310233
30,29,212,211,0.8490566037735849,0.8483412322274881,-0.0007153715460967991,32,32,0,0.9339622641509434,0.933649289099526,-0.0003129750514173635,37.0521494,127.0795268
31,30,211,210,0.8483412322274881,0.8476190476190476,-0.0007221846084405348,32,32,0,0.933649289099526,0.9333333333333333,-0.00031595576619269927,35.5260517,129.3405952
32,31,210,209,0.8476190476190476,0.84688995215311,-0.0007290954659375792,32,32,0,0.9333333333333333,0.9330143540669856,-0.00031897926634771867,37.4695092,126.4507804
33,32,209,208,0.84688995215311,0.8317307692307692,-0.015159182922340864,32,35,3,0.9330143540669856,0.9855769230769231,0.0525625690099375,37.8124697,127.7660694
34,33,208,207,0.8317307692307692,0.8309178743961353,-0.0008128948346338705,35,35,0,0.9855769230769231,0.9855072463768116,-6.96767001114873e-05,36.4275124,127.4179918
35,34,207,206,0.8309178743961353,0.8300970873786407,-0.0008207870174945509,35,35,0,0.9855072463768116,0.9174757281553398,-0.0680315182214718,37.1391006,128.0728572
36,35,206,205,0.8300970873786407,0.8292682926829268,-0.0008287946957139525,35,35,0,0.9174757281553398,0.9170731707317074,-0.00040255742363248803,36.2944222,127.4607645
