lat,lon
36.0721067,128.3736587
36.9691935,127.2759901
35.0877844,128.7991994
35.1611599,128.117421
37.5053736,126.8171933
37.4207898,127.9640902
33.4958711,126.4684971
33.5595645,126.8179977
35.2306637,129.1246081
35.2902789,129.09689
36.0095296,128.2603114
35.5426539,129.3551198
37.6781372,126.8847153
36.9451338,126.8069895
34.9825897,127.4868731
37.2898682,126.8732499
35.8698034,127.1087324
37.2563433,126.9704946
37.3154192,126.7907407
35.8892437,127.1056852
36.0960048,128.3889797
35.4979681,128.7270165
36.9281504,127.7593581
36.621601,128.1515787
37.2165826,126.7635514
35.5535355,129.3611561
35.9218105,128.8406827
35.9147051,128.6218117
34.8222635,126.383073
37.5891373,126.6072936
34.9395571,127.6063631
35.8247475,127.0729679
37.6810112,126.7385509
34.8150588,127.883642
37.4151823,127.1154021
37.8221715,127.7604215
37.0260688,127.0755845
37.4364191,126.623544
36.2121549,127.1464737
36.2015939982442,128.0007315743344
37.60340096342034,129.07751984105803
34.86778497597549,126.3124576243498
35.71855312002215,128.91482224941768
33.448028127698215,126.5611098295587
33.507387449453894,126.5318816893832
35.39530334997072,126.80488919771899
35.04920532952319,128.2608142205554
35.058423754197385,128.25272987933525
35.041397806852096,126.50976342109085
34.74161479458883,127.65033641200426
37.47409330076606,126.95642142061355
37.45374352269133,127.04181128977808
37.58622820727853,126.88640253842625
37.57130364648695,126.98649617176335
33.2928631302404,126.66105237033744
33.24628663364371,126.41520764978135
33.542880771289084,126.80843571252875
33.501240493476,126.45691426148181
33.47096200262491,126.48823624781078
33.44966008913343,126.34609331420872
33.49947802057531,126.6480178471918
33.52302814318902,126.56884883124377
37.635861666174996,127.21924352835718
37.52607765720579,126.7963634280222
37.39072956066443,126.77700340200528
37.23975235631668,127.17851893784153
37.273980482134014,127.23216299351768
37.570989476752665,127.19651133454919
37.20382850795612,127.03166689003284
36.34303118234597,127.37738451703346
35.72186908078891,129.1942268296864
37.331432406182856,127.10384360185685
37.237185671892775,127.10393823705547
36.1296202016454,128.1642660586253
36.132521822957685,128.1679387430302
36.020281039176695,128.4292991936618
36.01609646127947,128.42859164457164
36.426953335287784,127.41788166523486
37.459127482353125,127.04332673594945
36.9450577304481,127.19256650045551
36.78401451749145,127.17409964363993
36.27959316715731,127.67534223669294
35.48902814643721,129.09480095977125
36.65630629827474,127.3705444243501
36.29603783044182,127.59617666114302
